,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Busselton,3,AU,1559407833,52,-33.64,115.35,55.99,13.47
1,Haines Junction,86,CA,1559407834,44,60.75,-137.51,48.57,6.2
2,Bandarbeyla,100,SO,1559407835,71,9.49,50.81,80.61,7.78
3,Carnarvon,0,ZA,1559407837,39,-30.97,22.13,56.67,5.1
4,Ushuaia,75,AR,1559407838,77,-54.81,-68.31,37.4,17.22
5,Hobart,20,AU,1559407840,81,-42.88,147.33,45.0,3.36
6,Chau Doc,77,VN,1559407841,78,10.71,105.12,82.23,4.18
7,Torbay,90,CA,1559407843,80,47.66,-52.73,46.0,8.05
8,Hermanus,1,ZA,1559407844,90,-34.42,19.24,59.0,13.02
9,Barcelona,0,ES,1559407628,56,41.38,2.18,80.01,19.46
10,Punta Arenas,90,CL,1559407847,86,-53.16,-70.91,41.0,24.16
11,Kimbe,100,PG,1559407848,78,-5.56,150.15,77.55,7.72
12,Bredasdorp,27,ZA,1559407849,72,-34.53,20.04,62.6,6.93
13,Launceston,1,AU,1559407851,93,-41.43,147.14,41.0,4.7
14,Severo-Kurilsk,100,RU,1559407852,93,50.68,156.12,40.65,12.91
15,Xining,57,CN,1559407853,73,36.62,101.77,42.81,3.71
16,Vanimo,76,PG,1559407855,76,-2.67,141.3,83.31,15.46
17,Saint-Philippe,40,CA,1559407856,42,45.36,-73.48,66.99,5.82
18,Lorengau,98,PG,1559407857,88,-2.02,147.27,78.81,6.58
19,Te Anau,60,NZ,1559407859,96,-45.41,167.72,33.63,3.13
20,Touros,40,BR,1559407861,62,-5.2,-35.46,87.8,12.75
21,Tiksi,33,RU,1559407862,96,71.64,128.87,31.83,7.14
22,Natal,20,BR,1559407863,58,-5.81,-35.21,87.8,16.11
23,Kapaa,75,US,1559407865,83,22.08,-159.32,75.2,11.41
24,Atambua,76,ID,1559407747,73,-9.11,124.89,81.15,21.88
25,Upernavik,39,GL,1559407867,86,72.79,-56.15,31.29,3.98
26,Atuona,19,PF,1559407869,78,-9.8,-139.03,81.69,13.06
27,Vrangel,0,RU,1559407870,75,42.73,133.08,47.49,2.48
28,Port Keats,25,AU,1559407871,39,-14.25,129.55,71.61,20.0
29,Aksarka,50,RU,1559407873,77,66.56,67.8,38.31,12.39
30,Nanortalik,2,GL,1559407874,81,60.14,-45.24,36.51,8.25
31,Saskylakh,27,RU,1559407875,78,71.97,114.09,38.85,9.73
32,Rikitea,100,PF,1559407877,76,-23.12,-134.97,73.77,20.8
33,San Cristobal,75,EC,1559407879,49,-0.39,-78.55,68.0,5.82
34,Yeppoon,90,AU,1559407881,71,-23.13,150.74,57.2,6.93
35,Nikolskoye,0,RU,1559407882,39,59.7,30.79,64.99,6.71
36,Tulum,75,MX,1559407883,74,20.21,-87.46,87.01,13.87
37,Esperance,40,TT,1559407884,49,10.24,-61.45,89.6,11.41
38,Puerto Ayora,20,EC,1559407639,74,-0.74,-90.35,80.6,18.34
39,Kieta,75,PG,1559407888,73,-6.22,155.63,83.85,8.34
40,Geraldton,75,CA,1559407889,37,49.72,-86.95,55.4,3.36
41,Huangmei,11,CN,1559407890,94,30.1,115.95,68.55,1.68
42,Yerbogachen,83,RU,1559407892,53,61.28,108.01,50.19,5.08
43,Ribeira Grande,75,PT,1559407893,88,38.52,-28.7,69.8,16.11
44,Airai,82,TL,1559407895,75,-8.93,125.41,73.95,10.31
45,Gat,0,SN,1559407896,51,14.69,-16.54,82.4,18.34
46,Casimcea,20,RO,1559407897,69,44.71,28.38,80.6,6.93
47,Cherskiy,86,RU,1559407899,73,68.75,161.3,41.55,12.41
48,Constantine,40,DZ,1559407900,35,36.36,6.61,71.6,8.05
49,Humboldt,8,CA,1559407901,37,52.21,-105.12,65.31,6.29
50,Katsuura,75,JP,1559407903,88,33.93,134.5,68.0,2.24
51,Karratha,0,AU,1559407904,15,-20.74,116.85,64.77,16.93
52,Morondava,0,MG,1559407906,72,-20.3,44.28,77.19,11.23
53,Gravdal,75,NO,1559407907,76,59.79,5.78,54.0,9.17
54,Umm Kaddadah,76,SD,1559407909,22,13.6,26.69,91.77,6.26
55,Hami,0,CN,1559407910,13,42.84,93.51,74.13,20.49
56,Columbus,40,US,1559407648,40,32.46,-84.99,91.0,11.41
57,Tilichiki,99,RU,1559407913,85,60.47,166.1,43.17,6.04
58,Provideniya,43,RU,1559407914,72,64.42,-173.23,41.73,0.94
59,Sorland,16,NO,1559407915,84,67.67,12.69,43.89,18.54
60,Beloha,14,MG,1559407916,77,-25.17,45.06,67.11,13.49
61,Hilo,75,US,1559407889,78,19.71,-155.08,71.6,4.7
62,Bluff,100,AU,1559407919,83,-23.58,149.07,55.59,8.66
63,Cape Town,0,ZA,1559407877,93,-33.93,18.42,59.0,10.29
64,Yumen,0,CN,1559407922,15,40.29,97.04,69.27,6.04
65,Kavieng,52,PG,1559407923,76,-2.57,150.8,84.03,13.4
66,Clyde River,5,CA,1559407925,80,70.47,-68.59,39.2,4.7
67,Christchurch,97,NZ,1559407926,93,-43.53,172.64,39.99,12.75
68,Bouna,100,CI,1559407927,82,9.27,-3.0,78.45,6.38
69,Moerai,0,PF,1559407929,76,-22.43,-151.33,75.39,13.0
70,Faanui,0,PF,1559407930,71,-16.48,-151.75,81.51,8.14
71,Sandy Bay,20,AU,1559407932,81,-42.9,147.33,45.0,3.36
72,Lompoc,90,US,1559407912,87,34.64,-120.46,59.0,4.29
73,Batemans Bay,1,AU,1559407934,86,-35.71,150.18,48.99,1.99
74,Palu,100,ID,1559407918,81,-0.9,119.87,78.45,3.6
75,Mataura,33,NZ,1559407937,87,-46.19,168.86,43.17,5.32
76,Bethel,90,US,1559407939,93,60.79,-161.76,51.8,7.14
77,Kasongo,100,CD,1559407940,75,-4.43,26.67,77.73,6.02
78,Lata,42,IN,1559407942,68,30.78,78.62,35.79,9.98
79,Malakwal,0,PK,1559407943,14,32.55,73.21,98.97,7.47
80,Brae,100,GB,1559407944,93,60.4,-1.35,53.6,14.99
81,Nuuk,90,GL,1559407718,56,64.17,-51.74,35.6,11.41
82,Fukue,75,JP,1559407947,77,35.03,136.69,69.8,5.82
83,Khatanga,90,RU,1559407948,93,71.98,102.47,41.19,7.34
84,Chokurdakh,100,RU,1559407949,90,70.62,147.9,31.11,11.34
85,Saint George,20,GR,1559407951,53,39.45,22.34,77.0,11.41
86,Thompson,90,CA,1559407952,47,55.74,-97.86,41.0,8.05
87,Dalnegorsk,20,RU,1559407954,95,44.56,135.58,44.25,4.92
88,Kavaratti,97,IN,1559407939,69,10.57,72.64,86.19,4.18
89,Hithadhoo,70,MV,1559407956,76,-0.6,73.08,84.21,8.93
90,Roswell,1,US,1559407827,57,33.39,-104.52,79.0,10.29
91,Lebu,92,ET,1559407959,73,8.96,38.73,61.35,1.88
92,Tura,0,IN,1559407693,77,25.52,90.21,78.99,5.61
93,Lavrentiya,62,RU,1559407962,74,65.58,-170.99,39.93,5.66
94,Iwanai,2,JP,1559407963,93,42.97,140.51,49.65,7.76
95,Noumea,75,NC,1559407965,88,-22.28,166.46,62.6,3.36
96,Makakilo City,75,US,1559407966,69,21.35,-158.09,80.6,11.41
97,San Angelo,1,US,1559407771,61,31.46,-100.44,84.99,6.93
98,Gewane,82,ET,1559407968,35,10.16,40.66,91.77,6.15
